id	name	lat	lon	address
1	Athens Uncorked	39.3282	-82.1062	14 Station St, Athens, OH 45701
2	Buffalo Wild Wings	39.3276	-82.1023	23 W Union St, Athens, OH 45701
3	Busy Day Market	39.3323	-82.0952	30 W Stimson Ave, Athens, OH 45701
4	...and Beer	39.3288	-82.1009	10 South Court St, Athens, OH
5	Texas Roadhouse	39.3359	-82.0586	996 E State St, Athens, OH 45701
6	Smiling Skull Saloon	39.3295	-82.1052	108 W Union St, Athens, OH 45701
7	Tony's Tavern	39.3307	-82.1014	7 W State St, Athens, OH 45701
8	Shade on State St	39.336	-82.0588	994 E State St, Athens, OH 45701
9	Restaurant Salaam	39.3292	-82.1022	21 W Washington St, Athens, OH 45701
10	Red Brick Sports Pub	39.3296	-82.1011	14 N Court St, Athens, OH 45701
11	The Pub	39.3304	-82.1011	39 N Court St, Athens, OH 45701(
12	The Pigskin Bar and Grille	39.3304	-82.1011	38 N Court St, Athens, OH 45701
13	Pawpurr's Bar	39.3304	-82.1011	37 N Court St, Athens, OH 45701
14	The Over Hang	39.3312	-82.101	63 North Court St, Athens, OH 45701
15	Ohio University Inn and Conference Center	39.317	-82.1065	331 Richland Ave, Athens, OH 45701
16	Millstone BBQ	39.5416	-82.4478	12970 Grey St, Logan, OH 43138
17	Lucky's Sports Tavern	39.3296	-82.1012	11 N Court St, Athens, OH 45701
18	Little Fish Brewing Co.	39.333	-82.1298	8675 Armitage Rd, Athens, OH 45701
19	J Bar	39.3305	-82.1011	41 N Court St, Athens, OH 45701
20	Jackie O's Taproom	39.3318	-82.0907	25 Campbell Street, Athens, OH 45701
21	Jackie O's Public House	39.3276	-82.1022	22 W Union Street, Athens, OH 45701
22	Jackie O's Brew Pub	39.3276	-82.1023	24 W Union Street, Athens, OH 45701
23	Fluff Bakery	39.3294	-82.1012	8 N Court St, Athens, OH 45701
24	Devil's Kettle Brewing	39.3492	-82.0954	97 Columbus Rd, Athens, OH 45701
25	The Crystal	39.3303	-82.1011	34 N Court St, Athens, OH 45701
26	Courtside Pizza	39.3319	-82.101	85 N Court St, Athens, OH 45701
27	The C.I.	39.3302	-82.1011	32 N Court St, Athens, OH 45701
28	The Cat's Eye Saloon	39.3295	-82.1011	12 N Court St, Athens, OH 45701
29	The Cat's Den	39.3292	-82.1054	110 W Union St, Athens, OH 45701
30	Casa Nueva	39.3307	-82.1014	6 W State St, Athens, OH 45701
31	Broney/s Alumni Grill	39.3322	-82.101	7 W Carpenter St, Athens, OH 45701
32	Athens Uncorked	39.3282	-82.1062	14 Station St, Athens, OH 45701
33	W.G. Grinders	39.3295	-82.1056	120 W Union St, Athens, OH 45701
34	West End Cider House	39.3322	-82.1103	234 W Washington St, Athens, OH 45701
