device_guid	establishment_id	beer_id	report_count	last_report_update
2CD4B1D3-015F-4C89-8B70-E523659EF142	11	205	1	2015-07-09 13:08:17
4B9AFD2F-2C94-434F-89AD-2126A0383D9F	5	29	0	2015-07-09 13:54:30
C97BA7AF-F7FE-442A-8F27-B69E1FBFAD43	34	371	0	2015-07-09 16:59:41
6E1296E5-D1D6-46A6-AD7A-81E4B34786D9	31	305	0	2015-07-10 20:36:33
7D7BC934-0074-4B8D-B7D5-D3549592A862	28	399	0	2015-07-10 23:08:22
A9158326-8C3C-4394-8AFF-43D1F827B11E	8	242	1	2015-07-11 03:54:43
CF1ABBAA-1438-4956-8B4B-91A0A4A60035	20	138	1	2015-07-11 10:47:06
778ABDE5-DB34-4A55-923D-230DBC7376EB	2	286	1	2015-07-11 16:30:57
29E283A8-362E-4A37-B6B2-21EF3094925B	34	368	1	2015-07-11 20:11:40
B1F544D8-D71D-4C58-AA45-0279BEAEEE35	2	285	1	2015-07-11 20:27:40
7244887C-2A88-42BF-8D27-EF09D6265169	26	66	1	2015-07-11 22:05:33
7244887C-2A88-42BF-8D27-EF09D6265169	11	203	0	2015-07-11 22:05:52
8D0E9D04-5206-44C9-BCCC-5B5E68FE01BA	26	63	1	2015-07-11 23:22:14
8D0E9D04-5206-44C9-BCCC-5B5E68FE01BA	26	64	1	2015-07-11 23:22:19
CF200CE9-1014-4FA9-A047-8D830C538A1C	12	193	0	2015-07-11 23:36:00
B5623CFD-C3D4-4652-822D-C71D6DA37192	7	272	1	2015-07-12 00:19:56
155EDB49-66AF-4F0B-8785-D7AE199B598D	11	203	0	2015-07-12 00:20:32
73D9C4FA-875C-4D05-B0E0-A2546D74B5DC	21	105	0	2015-07-12 00:24:55
381BBE51-9B94-4776-A047-52DA13BD54A3	18	177	1	2015-07-12 00:44:02
94D8CD61-6F69-4528-90A3-13301869122C	21	112	0	2015-07-12 01:25:11
8F6CBD2D-49A5-4F65-A497-D403162D50C1	19	144	1	2015-07-12 01:41:36
0078C50B-06A6-4593-8B5F-7E8984FED45E	12	194	0	2015-07-12 02:03:15
C5BE9362-6492-4AD6-9CF5-116BDFBE9371	31	303	0	2015-07-12 02:41:43
C5BE9362-6492-4AD6-9CF5-116BDFBE9371	31	304	0	2015-07-12 02:41:52
B5019746-D534-49EB-9E7B-A6B72F4130C9	11	203	0	2015-07-12 16:47:19
BD49BE8D-D2FC-41B1-AABC-D45D693F47E6	3	25	1	2015-07-12 19:37:01
89609F63-F258-413B-9569-FF834CE5E2DF	26	60	1	2015-07-12 20:24:15
89609F63-F258-413B-9569-FF834CE5E2DF	26	66	1	2015-07-12 20:24:48
6EB15994-23B5-4231-8B0D-54BCDF6F2DB1	26	66	1	2015-07-12 20:25:13
6EB15994-23B5-4231-8B0D-54BCDF6F2DB1	26	60	1	2015-07-12 20:25:24
432C495E-D0AB-45A9-9AAD-80FA3E2C99E0	2	286	1	2015-07-12 20:59:38
432C495E-D0AB-45A9-9AAD-80FA3E2C99E0	2	16	1	2015-07-12 20:59:43
6EB15994-23B5-4231-8B0D-54BCDF6F2DB1	31	303	0	2015-07-12 21:10:06
89609F63-F258-413B-9569-FF834CE5E2DF	31	303	0	2015-07-12 21:12:59
89609F63-F258-413B-9569-FF834CE5E2DF	31	304	0	2015-07-12 21:13:10
6EB15994-23B5-4231-8B0D-54BCDF6F2DB1	31	304	0	2015-07-12 21:25:05
6EB15994-23B5-4231-8B0D-54BCDF6F2DB1	31	301	0	2015-07-12 21:28:24
F674BA30-7C6D-47DD-9DFB-5A148EA53F85	22	104	1	2015-07-12 21:36:17
88829F8D-8DA2-4A97-8312-0B677EBCF297	22	104	1	2015-07-12 21:36:19
82DA88A0-6270-4A3B-BD4F-BD20CF8B8885	22	104	1	2015-07-12 21:36:42
89609F63-F258-413B-9569-FF834CE5E2DF	31	301	0	2015-07-12 21:56:52
